LSOA11CD,domain_supermarket_proximity,domain_supermarket_accessibility,domain_ecommerce_access,domain_socio_demographic,domain_nonsupermarket_proximity,domain_food_for_families,domain_fuel_poverty,country,country_denominator,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
E01011641,13236,8783.0,27352.0,27059,13778,717,29992.0,E,33755,19757,4,3.0,9.0,9,5,1,9.0,6
E01011642,22044,19041.0,27352.0,23657,20986,487,27605.0,E,33755,21288,7,6.0,9.0,8,7,1,9.0,7
E01011643,13454,10385.0,27352.0,20300,15387,895,25045.0,E,33755,11876,4,4.0,9.0,7,5,1,8.0,4
E01011644,9053,7039.0,18707.0,12937,11863,1036,12813.0,E,33755,1268,3,3.0,6.0,4,4,1,4.0,1
E01011645,21407,13832.0,27352.0,21392,17404,647,16798.0,E,33755,11854,7,5.0,9.0,7,6,1,5.0,4
E01011646,14706,19435.0,18707.0,19430,16950,857,20709.0,E,33755,8442,5,6.0,6.0,6,6,1,7.0,3
E01011647,27921,13472.0,9458.0,13073,24266,455,6081.0,E,33755,6032,9,4.0,3.0,4,8,1,2.0,2
E01011648,22451,16750.0,6632.0,17914,21478,641,8666.0,E,33755,4841,7,5.0,2.0,6,7,1,3.0,2
E01011649,3815,24552.0,23805.0,33357,4565,1937,31274.0,E,33755,29588,2,8.0,8.0,10,2,1,10.0,9
E01011650,5104,11028.0,27352.0,25210,8743,1465,26880.0,E,33755,13162,2,4.0,9.0,8,3,1,8.0,4
E01011651,7016,7114.0,27352.0,17385,10246,1425,16789.0,E,33755,4759,3,3.0,9.0,6,4,1,5.0,2
E01011652,8209,22576.0,27352.0,20917,12381,1159,25199.0,E,33755,13806,3,7.0,9.0,7,4,1,8.0,5
E01011653,5669,19897.0,27352.0,19228,11364,1223,19663.0,E,33755,8792,2,6.0,9.0,6,4,1,6.0,3
E01011654,7882,12834.0,27352.0,32702,14223,882,17670.0,E,33755,20754,3,4.0,9.0,10,5,1,6.0,7
E01011655,7464,8944.0,27352.0,21599,12242,1043,30946.0,E,33755,16634,3,3.0,9.0,7,4,1,10.0,5
E01011656,9541,13211.0,9458.0,4575,12205,1506,6002.0,E,33755,175,3,4.0,3.0,2,4,1,2.0,1
E01011657,14331,19168.0,9458.0,3003,11490,1613,6298.0,E,33755,537,5,6.0,3.0,1,4,1,2.0,1
E01011658,10910,21155.0,949.0,585,12741,1293,2452.0,E,33755,142,4,7.0,1.0,1,4,1,1.0,1
E01011659,22838,11112.0,949.0,2091,12821,1562,5899.0,E,33755,386,7,4.0,1.0,1,4,1,2.0,1
E01011660,15069,12294.0,949.0,4056,13711,1354,5258.0,E,33755,139,5,4.0,1.0,2,5,1,2.0,1
E01011661,30998,15997.0,949.0,724,12350,1677,7036.0,E,33755,3253,10,5.0,1.0,1,4,1,3.0,1
E01011662,14054,9601.0,949.0,258,13074,1237,545.0,E,33755,18,5,3.0,1.0,1,4,1,1.0,1
E01011663,22565,15299.0,9458.0,1921,14441,1510,2570.0,E,33755,821,7,5.0,3.0,1,5,1,1.0,1
E01011664,21229,14045.0,949.0,3232,13055,1462,7838.0,E,33755,526,7,5.0,1.0,1,4,1,3.0,1
E01011665,30937,10889.0,9458.0,5609,15201,1692,9227.0,E,33755,4910,10,4.0,3.0,2,5,1,3.0,2
E01011666,29225,17978.0,18707.0,20097,16511,1689,21588.0,E,33755,14777,9,6.0,6.0,6,5,1,7.0,5
E01011667,22188,9378.0,949.0,355,14913,1441,699.0,E,33755,167,7,3.0,1.0,1,5,1,1.0,1
E01011668,13413,32556.0,31672.0,8256,23326,141,1007.0,E,33755,19248,4,10.0,10.0,3,7,1,1.0,6
E01011669,13130,22416.0,31672.0,8704,23414,92,3443.0,E,33755,10860,4,7.0,10.0,3,7,1,2.0,4
E01011670,13538,29152.0,6632.0,3365,25273,40,4187.0,E,33755,4618,5,9.0,2.0,1,8,1,2.0,2
E01011671,20766,21025.0,9458.0,2032,26872,4,1163.0,E,33755,3258,7,7.0,3.0,1,8,1,1.0,1
E01011673,24472,20443.0,9458.0,617,27312,169,24.0,E,33755,4024,8,7.0,3.0,1,9,1,1.0,2
E01011677,29731,25070.0,949.0,288,27234,266,149.0,E,33755,7296,9,8.0,1.0,1,9,1,1.0,3
E01011678,22353,26107.0,31672.0,14006,26926,223,4572.0,E,33755,18633,7,8.0,10.0,5,8,1,2.0,6
E01011681,16016,32328.0,6632.0,2255,25979,101,2590.0,E,33755,8888,5,10.0,2.0,1,8,1,1.0,3
