LSOA11CD,centroid_x,centroid_y
E01011594,421333.912,435013.864
E01011512,430810.121,438729.685000001
E01011593,422072.623,435519.425000001
E01011513,428769.605,438070.155999999
E01011592,421597.196,435398.749
E01011510,430141.376,438858.514
E01011591,422542.957,436216.853
E01011511,431281.932,438595.489
E01011590,420084.239,436895.23
E01011518,427199.029,429783.241
E01011599,420897.383,434109.369000001
E01011519,424321.29,429569.828
E01011598,421629.061,434762.273
E01011476,431582.173,428990.325999999
E01011477,426728.673,435490.870999999
E01011474,431413.617,429779.653000001
E01011475,431175.161,429226.411
E01011472,431115.519,430299.827
E01011473,430968.781,429831.858999999
E01011470,431542.782,430633.609999999
E01011471,430809.298,430507.307
E01011478,427471.601,435050.259
E01011479,427676.151,435202.433
E01011726,425009.604,432784.509
E01011727,424746.388,433305.938999999
E01011724,436263.256,435910.748
E01011725,425569.088,433275.035
E01011722,436975.957,435997.376
E01011723,436670.493,436182.632999999
E01011720,436075.883,436660.159
E01011721,436413.947,436511.960999999
E01011728,424691.119,431019.892999999
E01011729,426374.369,433214.687000001
E01033016,430211.711,433103.971999999
E01033015,429273.815,433140.189999999
E01033013,429045.761,432449.559
E01033010,430171.0,434196.706
E01033011,430621.072,433343.560000001
E01011697,444023.976,446827.584000001
E01011616,434455.141,433490.1
E01011696,438448.492,445624.426999999
E01011617,433436.278,433836.105
E01011695,425938.723,438887.754000001
E01011614,423076.964,433321.676000001
E01011694,427515.25,436571.392000001
E01011615,432739.846,433611.597999999
E01011693,428437.448,436761.784
E01011612,422435.769,433437.096999999
E01011692,428112.518,436828.185000001
E01011613,420936.751,433441.051999999
E01011691,428803.114,436892.941
E01011610,422773.869,433778.755000001
E01011690,427542.594,437063.721999999
E01011611,423548.444,433783.208000001
E01011699,439879.688,449549.345000001
E01011618,432445.567,433532.498
E01011698,440128.454,449281.99
E01011356,430843.994,436317.071
E01011357,430548.212,435857.954
E01011354,429392.993,436889.562999999
E01011355,429759.332,436670.66
E01011352,430535.372,436798.842
E01011353,431270.033,436693.16
E01011350,430162.675,437071.255999999
E01011351,430763.677,437301.668
E01011358,430391.776,436302.812999999
E01011359,431651.054,436077.528000001
E01011287,424414.423,434177.245999999
E01011286,425215.205,434519.913000001
E01011284,427285.654,433873.291999999
E01011283,425739.591,434470.998
E01011282,424956.455,434822.318
E01011281,425771.915,435024.675000001
E01011566,432544.429,440116.761
E01011567,429195.046,439916.717
E01011564,429197.106,440497.713
E01011565,430595.354,439996.757999999
E01011562,431610.754,440364.688999999
E01011563,429738.324,440685.646
E01011560,429053.649,439052.376
E01011561,432740.931,440788.809
E01011568,431804.536,439821.763
E01011456,423894.193,439236.26
E01011457,421277.589,439136.482999999
E01011454,423549.287,437263.141000001
E01011455,423130.069,438987.352
E01011453,424385.658,437275.366
E01011450,429037.704,436394.356000001
E01011451,428352.367,436262.414999999
E01011458,422152.927,438851.028000001
E01011459,424066.625,438640.377
E01032876,427390.868,438349.344000001
E01011706,438471.628,446123.095000001
E01011707,441951.892,445495.27
E01011704,440469.037,448258.960000001
E01011705,441019.323,448365.911
E01011703,439162.008,448511.57
E01011700,440795.201,448997.630000001
E01011708,436128.923,444428.449999999
E01011709,442451.623,445497.522
E01011666,435811.43,435006.791999999
E01011667,435109.507,435175.113
E01011664,435224.719,435843.463
E01011662,434464.77,435616.173
E01011663,435122.199,435372.886
E01011660,434833.229,436243.521
E01011661,435671.69,436283.222999999
E01011668,429324.59,435646.903999999
E01011669,429558.11,435761.172
E01033034,431013.032,433043.594000001
E01033035,431337.283,434244.551999999
E01033033,430943.074,433265.977
